2026-05-28 11:30:56,206 | INFO | circle | creating dictionary
2026-05-28 11:30:56,206 | INFO | circle | calculating area
2026-05-28 11:30:56,206 | INFO | circle | calculating perimeter
2026-05-28 11:30:56,207 | INFO | Rectangle | jfhdh
2026-05-28 11:31:29,266 | INFO | Rectangle | created
2026-05-28 11:31:29,267 | INFO | circle | creating dictionary
2026-05-28 11:31:29,267 | INFO | circle | calculating area
2026-05-28 11:31:29,267 | INFO | circle | calculating perimeter
2026-05-28 11:31:29,267 | INFO | Rectangle | jfhdh
2026-05-28 11:32:07,273 | INFO | Rectangle | created
2026-05-28 11:32:07,273 | INFO | circle | creating dictionary
2026-05-28 11:32:07,274 | INFO | circle | calculating area
2026-05-28 11:32:07,274 | INFO | circle | calculating perimeter
2026-05-28 11:32:07,275 | INFO | Rectangle | jfhdh
2026-05-28 11:33:32,782 | INFO | Rectangle | created
2026-05-28 11:33:32,782 | INFO | circle | creating dictionary
2026-05-28 11:33:32,783 | INFO | circle | calculating area
2026-05-28 11:33:32,783 | INFO | circle | calculating perimeter
2026-05-28 11:33:32,783 | INFO | Rectangle | jfhdh
2026-05-28 11:35:39,968 | INFO | Rectangle | created
2026-05-28 11:35:39,969 | INFO | circle | creating dictionary
2026-05-28 11:35:39,969 | INFO | circle | calculating area
2026-05-28 11:35:39,969 | INFO | circle | calculating perimeter
2026-05-28 11:35:39,970 | INFO | Rectangle | jfhdh
2026-05-28 11:53:13,645 | INFO | Rectangle | zero
2026-05-28 11:55:36,869 | INFO | Rectangle | zero
2026-05-28 11:57:15,288 | INFO | Rectangle | zero
2026-05-28 11:59:36,767 | INFO | logger | zero
2026-05-28 11:59:36,767 | INFO | logger | zero
2026-05-28 11:59:36,767 | INFO | logger | zero
2026-05-28 12:00:36,114 | INFO | logger | a
2026-05-28 12:00:36,114 | INFO | logger | a
2026-05-28 12:00:36,114 | INFO | logger | a
2026-05-28 12:05:05,211 | INFO | logger | zero
2026-05-28 12:05:05,211 | INFO | logger | zero
2026-05-28 12:05:05,211 | INFO | logger | zero
2026-05-28 12:11:00,272 | INFO | logger | zero
2026-05-28 12:11:00,272 | INFO | logger | zero
2026-05-28 12:11:00,272 | INFO | logger | zero
2026-05-28 12:13:25,316 | INFO | logger | zero
2026-05-28 12:13:25,316 | INFO | logger | zero
2026-05-28 12:13:25,316 | INFO | logger | zero
2026-05-28 12:13:46,044 | INFO | logger | zero
2026-05-28 12:13:46,044 | INFO | logger | zero
2026-05-28 12:13:46,044 | INFO | logger | zero
2026-05-28 12:16:10,981 | INFO | logger | zero
2026-05-28 12:16:10,981 | INFO | logger | zero
2026-05-28 12:16:10,981 | INFO | logger | zero
2026-05-28 12:16:42,164 | INFO | __main__ | zero
2026-05-28 12:19:51,507 | INFO | __main__ | zero
2026-05-28 12:44:36,511 | INFO | __main__ | a
2026-05-28 14:01:15,566 | INFO | __main__ | a
2026-05-28 14:02:15,447 | INFO | __main__ | a
2026-05-28 14:03:01,594 | INFO | __main__ | a
2026-05-28 14:03:16,177 | INFO | __main__ | a
2026-05-28 14:03:24,877 | INFO | logger | b
2026-05-28 14:03:24,877 | INFO | logger | b
2026-05-28 14:27:56,862 | INFO | __main__ | a
2026-05-28 14:28:01,713 | INFO | __main__ | a
2026-05-28 14:28:14,959 | INFO | logger | b
2026-05-28 14:28:14,959 | INFO | logger | b
2026-05-28 14:28:27,193 | INFO | __main__ | a
2026-05-28 14:28:47,267 | INFO | logger | b
2026-05-28 14:28:47,267 | INFO | logger | b
2026-05-28 14:29:18,230 | INFO | __main__ | a
2026-05-29 03:04:52,197 | INFO | __main__ | created
2026-05-29 03:04:52,198 | INFO | logger | creating dictionary
2026-05-29 03:04:52,198 | INFO | logger | creating dictionary
2026-05-29 03:04:52,198 | INFO | logger | calculating area
2026-05-29 03:04:52,198 | INFO | logger | calculating area
2026-05-29 03:04:52,199 | INFO | logger | calculating perimeter
2026-05-29 03:04:52,199 | INFO | logger | calculating perimeter
2026-05-29 03:04:52,199 | INFO | logger | jfhdh
2026-05-29 03:04:52,199 | INFO | logger | jfhdh
2026-05-29 16:30:51,213 | INFO | __main__ | created
2026-05-29 16:32:11,854 | INFO | __main__ | created
2026-05-29 16:33:05,136 | INFO | __main__ | created
2026-05-29 16:33:49,930 | INFO | rectangle | created
2026-05-29 16:34:46,360 | INFO | rectangle | created
2026-05-29 16:34:46,361 | INFO | circle | Circle: creating dictionary
2026-05-29 16:35:18,555 | INFO | rectangle | created
2026-05-29 16:35:18,555 | INFO | circle | Circle: creating dictionary
2026-05-29 16:35:18,555 | INFO | circle | Circle: calculating area
2026-05-29 16:35:18,557 | INFO | circle | Circle: calculating perimeter
2026-05-29 16:35:18,557 | INFO | rectangle | jfhdh
2026-05-29 16:36:21,698 | INFO | rectangle | created
2026-05-29 16:36:21,699 | INFO | circle | Circle: creating dictionary
2026-05-29 16:36:21,699 | INFO | circle | Circle: calculating area
2026-05-29 16:36:21,699 | INFO | circle | Circle: calculating perimeter
2026-05-29 16:36:21,699 | INFO | rectangle | jfhdh
2026-05-29 16:37:37,224 | INFO | rectangle | created
2026-05-29 16:37:37,224 | INFO | square | Square 21: creating dictionary
2026-05-29 16:37:37,224 | INFO | square | Square 21: calculating area
2026-05-29 16:37:37,225 | INFO | square | Square 21: calculating perimeter
2026-05-29 16:37:37,225 | INFO | rectangle | jfhdh
2026-05-29 16:38:35,416 | INFO | shape_manager | created
2026-05-29 16:38:35,416 | INFO | circle | Circle 22: creating dictionary
2026-05-29 16:38:35,416 | INFO | circle | Circle 22: calculating area
2026-05-29 16:38:35,416 | INFO | circle | Circle 22: calculating perimeter
2026-05-29 16:38:35,417 | INFO | shape_manager | jfhdh
2026-05-29 17:35:34,613 | INFO | __main__ |  Main: add shape process initiated
2026-05-29 17:35:42,913 | INFO | shape_manager | Manager : creating new shape
2026-05-29 17:35:42,913 | INFO | circle | Circle 23: creating dictionary
2026-05-29 17:35:42,914 | INFO | circle | Circle 23: calculating area
2026-05-29 17:35:42,914 | INFO | circle | Circle 23: calculating perimeter
2026-05-29 17:35:42,914 | INFO | __main__ | Main: Successfully added circle
2026-05-29 17:36:01,199 | INFO | __main__ |  Main: add shape process initiated
2026-05-29 17:36:04,577 | WARNING | __main__ | Invalid shape choice
2026-05-29 17:36:11,994 | INFO | __main__ |  Main: add shape process initiated
